 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Median,Skew,Kurt,%Area,AR,Round,Solidity
978,256,48242.223,12998.508,20484,65535,1351.777,1996.754,1352.359,1996.964,58.606,1341,1988,21,17,21.588,15.098,24.040,0.937,49347,-0.337,-1.072,100,1.430,0.699,0.962
979,248,49937.581,13453.612,19812,65535,1749.625,1996.052,1749.911,1996.192,61.158,1737,1990,25,13,24.785,12.740,2.928,0.833,54616,-0.647,-0.875,100,1.945,0.514,0.967
980,81,40118.617,13618.669,16558,64795,1569.870,1996.981,1570.291,1997.377,42.065,1561,1994,16,7,16.180,6.374,0.100,0.575,38334,0.179,-1.132,100,2.538,0.394,0.779
981,260,56350.162,12482.508,17831,65535,1569.285,2006.669,1569.040,2006.804,66.791,1559,1999,24,17,24.700,13.403,18.645,0.732,63507,-1.358,0.735,100,1.843,0.543,0.927
982,176,53411.477,12719.719,22248,65535,1885.682,2003.449,1885.917,2003.528,59.455,1873,1999,26,10,26.761,8.374,10.918,0.626,58154,-0.694,-0.944,100,3.196,0.313,0.929
983,177,48641.938,15113.725,19103,65535,1727.432,2006.353,1727.569,2006.531,50.892,1717,2001,20,11,20.744,10.864,170.402,0.859,51102,-0.393,-1.309,100,1.909,0.524,0.967
984,50,52858.860,12388.679,25843,65535,1117.920,2005.740,1118.161,2005.867,25.192,1113,2002,9,7,9.088,7.005,8.135,0.990,56059,-0.763,-0.679,100,1.297,0.771,0.971
985,108,41537.602,17941.168,9978,65535,891.435,2007.315,891.955,2007.828,43.533,882,2003,17,9,16.797,8.187,179.213,0.716,43458,-0.122,-1.429,100,2.052,0.487,0.893
986,148,49369.723,15477.640,19508,65535,1488.696,2012.926,1488.897,2013.093,45.470,1480,2008,17,10,18.052,10.439,7.613,0.900,54683,-0.481,-1.230,100,1.729,0.578,0.983
987,85,44736.965,14409.390,18242,64712,1436.265,2016.900,1436.676,2017.185,33.684,1430,2012,12,10,11.784,9.184,166.583,0.941,45967,-0.367,-1.113,100,1.283,0.779,0.934
988,106,39291.057,11318.234,17863,62578,1448.406,2020.179,1448.527,2020.328,37.461,1441,2015,14,10,13.707,9.846,174.070,0.949,38663,0.119,-0.896,100,1.392,0.718,0.959
989,189,51761.233,11105.658,19470,65373,1177.574,2023.008,1177.709,2022.982,59.097,1165,2018,25,10,26.451,9.098,2.331,0.680,54314,-0.711,-0.380,100,2.908,0.344,0.922
990,202,51319.178,16115.466,18613,65535,1329.827,2033.995,1330.095,2034.162,52.792,1322,2024,16,18,17.476,14.717,94.303,0.911,59888,-0.690,-1.113,100,1.187,0.842,0.940
991,172,59248.930,8850.225,29623,65535,1147.006,2043.919,1147.129,2043.989,52.965,1135,2038,22,11,22.401,9.776,15.085,0.770,64636,-1.371,0.794,100,2.291,0.436,0.953
992,134,55397.701,7688.986,32146,65261,974.448,2043.896,974.623,2044.012,45.475,964,2039,18,10,17.548,9.723,1.871,0.814,56606,-0.879,0.343,100,1.805,0.554,0.947
993,315,47750.346,14256.733,18961,65535,1728.779,2046.770,1728.890,2047.091,71.120,1714,2040,29,14,29.430,13.628,177.136,0.783,50087,-0.372,-1.187,100,2.159,0.463,0.943
994,181,60392.110,7815.261,33031,65535,1262.892,2048.058,1262.980,2048.151,52.307,1252,2043,21,11,21.490,10.724,5.688,0.831,64350,-1.798,2.358,100,2.004,0.499,0.960
995,275,51365.433,14580.134,17765,65535,1392.678,2060.380,1392.888,2060.500,59.613,1382,2052,21,17,21.334,16.413,16.910,0.972,57057,-0.682,-0.958,100,1.300,0.769,0.979
996,267,54494.371,13756.860,21846,65535,1803.178,2061.197,1803.450,2061.344,58.850,1794,2052,18,19,20.382,16.679,57.827,0.969,62694,-0.919,-0.627,100,1.222,0.818,0.976
997,228,41019.500,13166.492,19080,65500,1722.294,2067.982,1722.153,2068.301,57.248,1711,2061,23,14,22.390,12.966,14.623,0.874,40678,0.180,-1.100,100,1.727,0.579,0.960
998,135,47637.289,16462.621,17256,65535,1332.841,2074.248,1332.966,2074.667,42.521,1325,2069,15,11,15.712,10.940,173.968,0.938,51643,-0.386,-1.338,100,1.436,0.696,0.968
999,50,52912.940,13420.056,21644,65535,1041.240,2078.680,1041.162,2078.915,28.899,1035,2075,11,8,11.397,5.586,155.666,0.752,60212,-0.872,-0.515,100,2.040,0.490,0.877
1000,267,52203.446,11287.777,23327,65535,1085.155,2081.358,1085.735,2081.291,66.019,1071,2075,27,12,28.314,12.007,5.717,0.770,55129,-0.634,-0.752,100,2.358,0.424,0.974
1001,196,53877.311,14011.703,21696,65535,1376.474,2085.255,1376.699,2085.524,52.018,1367,2077,18,16,18.805,13.270,36.092,0.910,61199,-0.923,-0.558,100,1.417,0.706,0.954
1002,184,55113.902,13535.557,21400,65535,1534.484,2085.647,1534.992,2085.677,51.093,1526,2079,18,14,19.542,11.988,30.727,0.886,63226,-1.058,-0.260,100,1.630,0.613,0.966
1003,290,59081.831,10624.827,24503,65535,1549.921,2089.355,1549.996,2089.362,62.911,1540,2079,20,20,22.013,16.774,52.567,0.921,65425,-1.623,1.471,100,1.312,0.762,0.960
1004,150,47380.307,13534.071,20219,65505,1766.787,2084.573,1766.885,2084.843,46.925,1757,2080,19,10,18.930,10.089,0.262,0.856,48994,-0.324,-1.137,100,1.876,0.533,0.958
1005,156,53807.250,13785.588,20838,65535,1103.731,2104.096,1103.892,2104.345,49.109,1093,2099,20,10,20.228,9.819,5.841,0.813,61360,-1.007,-0.358,100,2.060,0.485,0.954
1006,236,54234.521,10078.942,27101,65535,1386.258,2106.623,1386.507,2106.885,56.168,1376,2099,20,15,20.868,14.399,20.993,0.940,56515,-0.724,-0.400,100,1.449,0.690,0.971
1007,148,50956.162,12691.959,21709,65535,1507.426,2104.851,1507.464,2105.002,44.820,1499,2099,16,11,16.898,11.152,5.903,0.926,54081,-0.627,-0.831,100,1.515,0.660,0.974
1008,37,39294.243,14401.766,19609,64497,1712.446,2103.932,1712.718,2104.225,21.472,1709,2101,7,6,7.478,6.300,7.795,1.000,36904,0.230,-1.262,100,1.187,0.842,0.987
1009,294,48802.248,11875.176,22150,65525,1438.837,2108.000,1438.876,2108.055,71.314,1424,2102,29,12,30.808,12.151,178.038,0.726,51142,-0.439,-0.936,100,2.535,0.394,0.955
1010,287,44215.721,12483.550,17720,65450,1185.214,2109.402,1185.244,2109.670,74.426,1169,2103,32,12,33.475,10.916,5.415,0.651,44260,-0.161,-0.894,100,3.066,0.326,0.936
1011,207,56478.739,11411.640,23210,65535,1267.036,2113.423,1267.233,2113.685,57.822,1256,2106,22,15,24.382,10.810,154.027,0.778,62036,-1.233,0.378,100,2.256,0.443,0.956
1012,77,49138.740,13188.196,23929,65534,1115.201,2113.110,1115.275,2113.321,34.787,1107,2109,14,9,13.450,7.289,157.430,0.800,52428,-0.374,-1.236,100,1.845,0.542,0.917
1013,156,50266.141,11784.674,24189,65276,1490.045,2115.609,1490.342,2115.745,47.253,1481,2110,18,11,18.840,10.543,166.913,0.878,54159,-0.590,-0.891,100,1.787,0.560,0.957
1014,230,51832.396,11308.332,22413,65505,1354.313,2117.874,1354.481,2118.100,65.756,1340,2113,28,10,29.180,10.036,177.667,0.668,55013,-0.802,-0.337,100,2.908,0.344,0.945
1015,81,42196.580,12357.736,20912,63188,1574.525,2119.994,1574.695,2120.046,33.120,1568,2116,12,8,12.258,8.414,167.895,0.928,41134,0.089,-1.252,100,1.457,0.686,0.959
1016,141,51815.504,13325.913,19585,65532,1204.181,2123.798,1204.505,2123.941,43.059,1196,2118,16,12,16.046,11.188,7.063,0.956,56347,-0.775,-0.607,100,1.434,0.697,0.959
1017,263,46201.916,12408.937,21263,65486,1593.146,2138.968,1593.057,2139.067,64.376,1580,2132,26,13,26.690,12.546,170.721,0.797,47084,-0.283,-1.093,100,2.127,0.470,0.963
1018,311,49449.630,12155.656,18869,65535,1669.960,2141.175,1670.621,2141.447,66.263,1658,2132,23,20,24.896,15.905,149.493,0.890,51310,-0.626,-0.530,100,1.565,0.639,0.945
1019,14,38192.286,8132.406,24460,49847,1161.071,2136.071,1161.118,2136.215,17.049,1157,2134,7,4,7.093,2.513,155.359,0.605,40352,-0.154,-1.164,100,2.823,0.354,0.824
1020,319,38732.210,11215.075,16049,64588,1378.729,2143.252,1378.912,2143.398,72.685,1364,2137,28,13,30.072,13.506,174.143,0.759,38436,0.099,-0.690,100,2.227,0.449,0.965
1021,176,51096.790,13389.530,17695,65535,1251.602,2145.631,1252.304,2145.753,55.453,1239,2141,23,10,23.754,9.434,0.881,0.719,53761,-0.619,-0.799,100,2.518,0.397,0.926
1022,279,43621.384,12311.649,19925,65535,1735.339,2151.246,1735.633,2151.469,64.383,1724,2142,23,18,25.538,13.910,150.130,0.846,43622,0.049,-0.851,100,1.836,0.545,0.952
1023,240,53506.858,11438.298,25930,65535,1692.317,2157.067,1692.120,2157.128,58.412,1681,2150,22,13,22.534,13.561,178.348,0.884,55688,-0.669,-0.724,100,1.662,0.602,0.984
1024,246,56594.854,12602.079,23859,65535,1444.407,2160.537,1444.637,2160.775,62.994,1432,2154,24,13,25.766,12.156,2.418,0.779,64616,-1.237,0.144,100,2.120,0.472,0.921
1025,327,43321.896,10698.480,20691,65406,1827.567,2166.873,1827.723,2167.078,67.871,1817,2157,23,21,23.911,17.413,38.362,0.892,43267,0.002,-0.847,100,1.373,0.728,0.951
1026,268,50333.933,12205.518,25467,65535,1394.552,2169.358,1394.918,2169.267,63.069,1382,2161,24,16,25.652,13.302,19.815,0.847,53520,-0.406,-1.235,100,1.928,0.519,0.961
